3fm,http://icecast.omroep.nl/3fm-bb-mp3
60s,http://ice55.securenetsystems.net/DASH34
70s,http://s3.free-shoutcast.com:18172/
80s,http://22663.live.streamtheworld.com:80/SRGSTR04.mp3
Anime,http://stream.animeradio.de/animeradio.mp3
Arctic,https://radio.streemlion.com:3715/stream
BNR,https://stream.bnr.nl/bnr_aac_96_20
Balkan,http://rsde.isv.net:8000/stream
Bollywood,http://stream.zeno.fm/8ty8szwpwfeuv.m3u
Bossanova,http://79.111.14.76:8002/bossanova
Celtcast,https://caster04.streampakket.com/proxy/8982/CeltCast
Chansons,http://allzic29.ice.infomaniak.ch/allzic29.mp3
Chinese,http://radio.chinesemusicworld.com/chinesemusic.ogg
Chiptune,http://185.80.220.12:8054/stream
Country,http://s7.reliastream.com:8194/stream
Cryosleep,http://streams.echoesofbluemars.org:8000/cryosleep
Darksynth,https://stream.nightride.fm/darksynth.m4a
DefCon,https://somafm.com/defcon130.pls
Disney,https://listen.radioking.com/radio/453221/stream/508076
DnB,https://air.dnbfm.ru/listen/player/play
Electronic,https://stream.mixadance.fm/mixadance
Eurobeat,http://79.120.39.202:9159/listen.pls
Fallout4,https://fallout.fm:8444/falloutfm6.ogg
Fallout3,https://fallout.fm:8444/falloutfm2.ogg
FalloutClassical,https://fallout.fm:8444/falloutfm7.ogg
Funk,http://funk2disco.stream.laut.fm/funk2disco?uuid=94dfa57d-4bbe-486c-ba24-4f7c80cd446e
Goldstucke,https://1a-schlagergold.radionetz.de/1a-schlagergold.mp3
Gregorian,http://213.141.131.10:8002/chants
Hardbass,https://radiorecord.hostingradio.ru/hbass96.aacp
Hardstyle,http://audio-edge-ey5nr.ams.s.radiomast.io/73055724-1141-41e2-a69b-24a6ca96c8e7
Hip-hop,https://converter.titsrp.com/thetrap/
House,https://hirschmilch.de:7001/prog-house.mp3
Icelandic,http://netradio.ruv.is/ras1.aac.m3u
Infowars,http://173.226.180.143/alexjonesshow-mp3
Galgalatz,http://glzwizzlv.bynetcdn.com/glglz_mp3
Jazz,https://jfm1.hostingradio.ru:14536/ijstream.mp3
Jumpstyle,http://lw2.mp3.tb-group.fm/tb.mp3
Christmas,https://christmasfm.cdnstream1.com/2550_128.mp3?aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1605423292
Klassisk,http://nrk-mms-live.telenorcdn.net/nrk_radio_klassisk_mp3_h
Klezmer,http://79.120.39.202:8002/klezmer
Koperblazers,http://stream.laut.fm/blasmusikradio
listen.moe,https://listen.moe/fallback
Lo-fi,https://lfhh.radioca.st/stream
Lo-fi2,http://79.120.77.11:8000/instrumentalhiphop
Mariachi,https://playerservices.streamtheworld.com/api/livestream-redirect/ACIR34_s01AAC.aac
Medieval,https://mediaserv73.live-streams.nl:18058/stream
Metalcore,https://metal-high.rautemusik.fm/?ref=radiobrowser
Mongol,http://79.111.119.111:8004/siberia
Oldhop,http://streams.rpr1.de/rpr-hiphop-128-mp3
Oldraeli,http://194.213.4.197:8000/
Opera,http://listen.mrg.fm:8110/;
Phonk,https://edge01.atomicradio.eu/dopephonk/highquality
Piano,https://solopiano-high.rautemusik.fm/?ref=radiobrowser
Piratenhits,https://azuraserv3.live-streams.nl:8040/stream.mp3
Powermetal,http://213.141.131.10:8000/symphopower
Radio1,http://icecast.omroep.nl/radio1-bb-mp3
Radio5,http://icecast.omroep.nl/radio5-bb-mp3
Reggae,https://maggie.torontocast.com:2020/stream/reggaechillcafe
Ruskafe,http://cafe.volna.top/Cafe
Ruspunk,http://nashe1.hostingradio.ru/nashepunks.mp3
Sinterklaas,https://stream06.dotpoint.nl:8004/stream
Smoothjazz,http://www.101smoothjazz.com/101-smoothjazz.m3u
Sovietwave,http://station.waveradio.org/soviet.mp3
Synthwave,https://synthwave.stream.laut.fm/synthwave
Trance,http://strm112.1.fm/atr_mobile_mp3
USSR,http://pub0302.101.ru:8000/stream/pro/aac/64/46
Vaporwave,http://radio.plaza.one/opus
Vikingmetal,http://79.111.14.76:8000/vikingmetal.m3u
Zeeland,https://d3isaxd2t6q8zm.cloudfront.net/icecast/omroepzeeland/omroepzeeland_radio
Quran,http://server4.streamserver24.com:21494/stream/1/
Oriental,https://rautemusik-de-hz-fal-stream14.radiohost.de/oriental
Nativeamerican,http://79.111.119.111:8002/nativeamerican
Schlager,https://schlager.stream.laut.fm/schlager
Jodel,https://radiotell.dmd2streaming.com/radiotell04.mp3
Drill,https://stream.laut.fm/drill
Punk,https://hardcore.stream.laut.fm/hardcore
Gabber,https://stream.technolovers.fm/gabber
